channel,source_profile,source_category,films_covered,items_tracked,full_videos,shorts,review_discussion_items,context_items,review_share_pct,stored_comments,useful_comments,useful_share_pct,questions,public_comments,views,comments_per_item,tracker_value
Cinema Talks,Cinema Talks,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1901,0.0,5.4
Cinema Trip,Cinema Trip,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,8070,0.0,5.4
Cinepulse Telugu (Charan Talks),Cinepulse Telugu (Charan Talks),open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,7470,0.0,5.4
Filmy Bolly Holly Review ,Filmy Bolly Holly Review ,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,729,0.0,5.4
Good Things🍁,Good Things🍁,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,3129,0.0,5.4
Hariprasad Filmmaker ,Hariprasad Filmmaker ,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,2033,0.0,5.4
KING 24x7,KING 24x7,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1891,0.0,5.4
KalakkalcinemaVideos,KalakkalcinemaVideos,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,813,0.0,5.4
"Mr Jingili . 1 crore view . 1 hour ago 




...","Mr Jingili . 1 crore view . 1 hour ago 




...",open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,596,0.0,5.4
Neo Maxwell,Neo Maxwell,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,81,0.0,5.4
POCKET VIEWS,POCKET VIEWS,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1660,0.0,5.4
TechTitanMB BuzzMeter,TechTitanMB BuzzMeter,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1241,0.0,5.4
Trial And Success,Trial And Success,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,2655,0.0,5.4
VT movies ,VT movies ,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,219,0.0,5.4
cartoon explain Tamil,cartoon explain Tamil,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1445,0.0,5.4
variety track,variety track,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,1693,0.0,5.4
what TO wow,what TO wow,open_youtube,1,1,0,1,1,0,100.0,0,0,0.0,0,0,3722,0.0,5.4
Newston Cinema,Newston Cinema,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,21,355052,21.0,5.31
